maturity_date;coupon_rate;current_price
2/15/2004;3;101,0544
8/15/2004;2,125;100,9254
2/15/2005;1,5;99,8942
8/15/2005;6,5;109,0934
2/15/2006;5,625;108,438
8/15/2006;2,375;99,7848
2/15/2007;6,25;111,7184
8/15/2007;3,25;101,0841
2/15/2008;3;99,1692
8/15/2008;3,25;99,271
2/15/2009;5,5;109,7707
8/15/2009;6;112,145
2/15/2010;6,5;114,9084
8/15/2010;5,75;110,3894
2/15/2011;5;105,2934
8/15/2011;5;104,7607
2/15/2012;4,875;103,4391
8/15/2012;4,375;99,2806
2/15/2013;3,875;95,0288
8/15/2013;4,25;97,7693
2/15/2014;13,25;174,3251
8/15/2014;12,5;168,9389
2/15/2015;11,25;157,0552
8/15/2015;10,625;152,4222
2/15/2016;9,25;140,0135
8/15/2016;7,5;123,3044
2/15/2017;8,75;136,0598
8/15/2017;8,875;137,504
2/15/2018;9,125;140,792
8/15/2018;9;139,9079
2/15/2019;8,875;138,7431
8/15/2019;8,125;130,7162
2/15/2020;8,5;135,2938
8/15/2020;8,75;138,3466
2/15/2021;7,875;128,4995
8/15/2021;8,125;131,7341
2/15/2022;8;130,4736
8/15/2022;7,25;121,58
2/15/2023;7,125;120,1744
8/15/2023;6,25;109,4538
2/15/2024;7,5;125,46
8/15/2024;7,5;125,4466
2/15/2025;7,625;127,1477
8/15/2025;6,875;117,5509
2/15/2026;6;106,3626
8/15/2026;6,75;116,1986
2/15/2027;6,625;114,7086
8/15/2027;6,375;111,4036
2/15/2028;6,125;108,0391
8/15/2028;5,5;99,633
2/15/2029;5,25;96,2876
8/15/2029;6,125;108,4062